,,,,,,,,,"6,36,246",78,"1,95,087",,Total Sold,203,DIvidend%,0%,,,,,Profit ,Net Profit,,,,,,,
Copy paste this data from KHM sheet,,,,,,,Manual Entry,,,This data will populate automatically,,,0,"40,578","1,54,509",0,"1,54,509",,,,30.66%,24.28%,,,,,,,
Buy Date,ETF Code,Underlying Asset,Buy Price,Actual Buy Qty,Suggested Qty,Invested amount,Sell Price,Sell Date,Invested amt on this date,Holding Days,Profit Amount,Profit%,Brokerage plus charges Both Side,Income Tax (STCG),Profit after deducting Brokerage and Income Tax ,Dividend paid to Self,Growth Amount after Tax and Dividend,,Sell Date - Year-Month,SUM of Profit Amount,MAX of Invested amt on this date,SUM of Brokerage plus charges Both Side,SUM of Income Tax (STCG),SUM of Dividend paid to Self,SUM of Growth Amount after Tax and Dividend,Monthly P% on Max Invested,Overall P% on Max Invested till date,Overall P% on Max Invested from pocket,Approx Annualised %
16-Oct-23,PSUBNKBEES,Nifty PSU Bank,56.50,213,,"12,035",60.50,06-Dec-23,"2,57,857",51,852,7.08%,,177,675,0,675,,,,,,,,,,,,
17-Oct-23,PSUBANKICI,Nifty PSU Bank,51.38,235,,"12,074",55.12,08-Dec-23,"2,59,346",52,879,7.28%,,183,696,0,696,,,,,,,,,,,,
06-Oct-23,ICICIBANKP,Nifty Private Bank Index,229.00,53,,"12,137",245.73,11-Dec-23,"2,60,858",66,887,7.31%,,184,702,0,702,,,,,,,,,,,,
04-Oct-23,KOTAKIT,NIFTY IT Index,32.90,365,,"12,009",35.33,12-Dec-23,"2,62,397",69,887,7.39%,,184,702,0,702,,,,,,,,,,,,
11-Aug-23,BANKBEES,Nifty Bank,453.08,27,,"12,233",486.00,14-Dec-23,"2,76,544",125,889,7.27%,,185,704,0,704,,,,,,,,,,,,
29-Sep-23,ITBEES,NIFTY IT Index,33.64,378,,"12,716",36.61,15-Dec-23,"2,76,618",77,"1,123",8.83%,,234,889,0,889,,,,,,,,,,,,
12-Oct-23,ICICITECH,NIFTY IT Index,33.80,360,,"12,168",37.70,18-Dec-23,"2,78,035",67,"1,404",11.54%,,292,"1,112",0,"1,112",,,,,,,,,,,,
13-Sep-23,NSE:ESG,NIFTY100 ESG SECTOR LEADERS,32.75,390,,"12,773",35.41,19-Dec-23,"2,78,087",97,"1,037",8.12%,,216,822,0,822,,,,,,,,,,,,
05-Dec-23,NSE:MAFANG,NYSE FANG+ Total Return Index,67.89,224,,"15,207",72.70,20-Dec-23,"2,75,713",15,"1,077",7.08%,,224,853,0,853,,,,,,,,,,,,
09-Aug-23,BANKIETF,Nifty Bank,45.05,267,,"12,028",47.96,21-Dec-23,"2,79,785",134,777,6.46%,,162,615,0,615,,,,,,,,,,,,
20-Sep-23,MASPTOP50,S&P 500 Top 50 Total Return Index,32.82,200,,"6,564",35.08,22-Dec-23,"2,86,769",93,452,6.89%,,94,358,0,358,,,,,,,,,,,,
25-Jul-23,FMCGIETF,Nifty FMCG Index,540.35,23,,"12,428",573.00,26-Dec-23,"2,87,896",154,751,6.04%,,156,595,0,595,,,,,,,,,,,,
21-Jul-23,MONQ50,Nasdaq Q-50 Total Return Index,54.23,222,,"12,039",57.50,28-Dec-23,"3,14,263",160,726,6.03%,,151,575,0,575,,,,,,,,,,,,
13-Dec-23,NSE:PHARMABEES,Nifty Pharma TRI,16.25,790,,"12,838",17.44,02-Jan-24,"3,27,751",20,940,7.32%,,196,745,0,745,,,,,,,,,,,,
15-Dec-23,NSE:HEALTHY,Nifty Healthcare TRI,10.45,1300,,"13,585",11.08,04-Jan-24,"3,40,576",20,819,6.03%,,170,649,0,649,,,,,,,,,,,,
18-Dec-23,NSE:HEALTHIETF,Nifty Healthcare Index,105.12,122,,"12,825",111.55,10-Jan-24,"3,79,825",23,784,6.12%,,163,621,0,621,,,,,,,,,,,,
03-Jan-24,NSE:ITBEES,NIFTY IT Index,36.47,350,,"12,765",39.76,15-Jan-24,"3,79,875",12,"1,152",9.02%,,240,912,0,912,,,,,,,,,,,,
05-Jan-24,NSE:KOTAKIT,NIFTY IT Index,36.60,348,,"12,737",38.80,17-Jan-24,"403,563",12,766,6.01%,,159,606,0,606,,,,,,,,,,,,
04-Dec-23,NSE:MON100,Nasdaq100,129.89,104,,"13,509",137.70,19-Jan-24,"418,702",46,812,6.01%,,169,643,0,643,,,,,,,,,,,,
04-Jan-24,NSE:MAFANG,NYSE FANG+ Total Return Index,71.00,180,,"12,780",75.74,25-Jan-24,"433,995",21,853,6.68%,,177,676,0,676,,,,,,,,,,,,
29-Dec-23,NSE:MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index,54.95,246,,"13,518",58.50,30-Jan-24,"446,132",32,873,6.46%,,182,692,0,692,,,,,,,,,,,,
28-Dec-23,NSE:HDFCSML250,NIFTY Smallcap 250 ETF,139.81,92,,"12,863",148.87,31-Jan-24,"447,617",34,834,6.48%,,173,660,0,660,,,,,,,,,,,,
20-Dec-23,NSE:AUTOBEES,Nifty Auto TRI,182.96,88,,"16,100",196.50,01-Feb-24,"460,290",43,"1,192",7.40%,,248,944,0,944,,,,,,,,,,,,
27-Dec-23,NSE:MASPTOP50,S&P 500 Top 50 Total Return Index,35.00,365,,"12,775",37.11,05-Feb-24,"473,933",40,770,6.03%,,160,610,0,610,,,,,,,,,,,,
19-Dec-23,NSE:CONSUMIETF,Nifty India Consumption Index,94.36,136,,"12,833",100.07,16-Feb-24,"547,316",59,777,6.05%,,162,615,0,615,,,,,,,,,,,,
22-Dec-23,NSE:CONSUMBEES,Nifty India Consumption Index,101.92,133,,"13,555",108.14,19-Feb-24,"533,761",59,827,6.10%,,172,655,0,655,,,,,,,,,,,,
25-Jan-24,NSE:ESG,NIFTY100 ESG SECTOR LEADERS,35.31,361,,"12,747",37.45,04-Mar-24,"604,120",39,773,6.06%,,161,612,0,612,,,,,,,,,,,,
12-Dec-23,NSE:GOLDBEES,Gold,51.89,261,,"13,543",55.23,07-Mar-24,"604,118",86,872,6.44%,,181,690,0,690,,,,,,,,,,,,
